DATES,RECOVERED,DEATHS,CONFIRMED
1/22/20,28,17,555
1/23/20,30,18,654
1/24/20,36,26,941
1/25/20,39,42,1434
1/26/20,52,56,2118
1/27/20,61,82,2927
1/28/20,107,131,5578
1/29/20,126,133,6166
1/30/20,143,171,8234
1/31/20,222,213,9927
02/01/20,284,259,12038
02/02/20,472,362,16787
02/03/20,623,426,19881
02/04/20,852,492,23892
02/05/20,1124,564,27635
02/06/20,1487,634,30794
02/07/20,2011,719,34391
02/08/20,2616,806,37120
02/09/20,3244,906,40150
02/10/20,3946,1013,42762
02/11/20,4683,1113,44802
02/12/20,5150,1118,45221
2/13/20,6295,1371,60368
2/14/20,8058,1523,66885
2/15/20,9395,1666,69030
2/16/20,10865,1770,71224
2/17/20,12583,1868,73258
2/18/20,14352,2007,75136
2/19/20,16121,2122,75639
2/20/20,18177,2247,76197
2/21/20,18890,2251,76819
2/22/20,22886,2458,78572
2/23/20,23394,2469,78958
2/24/20,25227,2629,79561
2/25/20,27905,2708,80406
2/26/20,30384,2770,81388
2/27/20,33277,2814,82746
2/28/20,36711,2872,84112
2/29/20,39782,2941,86011
03/01/20,42716,2996,88369
03/02/20,45602,3085,90306
03/03/20,48228,3160,92840
03/04/20,51170,3254,95120
03/05/20,53796,3347,97886
03/06/20,55865,3459,101801
03/07/20,58358,3558,105847
03/08/20,60694,3801,109821
03/09/20,62494,3987,113590
03/10/20,64404,4263,118620
03/11/20,67003,4614,125875
03/12/20,68324,4722,128352
3/13/20,70251,5408,145223
3/14/20,72624,5830,156118
3/15/20,76034,6472,167470
3/16/20,78088,7150,181624
3/17/20,80840,7956,197134
3/18/20,83312,8823,214875
3/19/20,84975,9946,242631
3/20/20,87420,11422,272263
3/21/20,91692,13125,304580
3/22/20,97899,14825,337018
3/23/20,98351,16759,378282
3/24/20,108000,19014,418106
3/25/20,113787,21785,467751
3/26/20,122150,24788,529722
3/27/20,130915,28288,593459
3/28/20,139415,31798,660853
3/29/20,149082,35323,720290
3/30/20,164566,39439,782500
3/31/20,178034,44238,857608
04/01/20,193198,49675,932650
04/02/20,210269,55817,1013477
04/03/20,225814,61812,1095893
04/04/20,246152,67981,1176059
04/05/20,260023,73077,1249743
04/06/20,276534,78767,1321436
04/07/20,300054,86662,1396438
04/08/20,328703,93354,1480232
04/09/20,353989,100882,1565555
04/10/20,376104,108113,1657950
04/11/20,402120,114146,1736032
04/12/20,421722,119853,1835145
4/13/20,448672,125561,1905160
4/14/20,473980,132439,1975566
4/15/20,510516,140659,2055424
4/16/20,541592,147946,2151792
4/17/20,567765,156804,2239634
4/18/20,591719,163214,2317243
4/19/20,623307,167772,2400787
4/20/20,645308,173097,2471727
4/21/20,679905,180236,2549046
4/22/20,710046,186912,2624608
4/23/20,738980,193665,2708403
4/24/20,789585,199997,2795731
4/25/20,817405,206187,2881140
4/26/20,845985,209900,2955033
4/27/20,873677,214444,3023722
4/28/20,906955,220801,3097229
4/29/20,948425,227665,3172287
4/30/20,1013886,233360,3256910
05/01/20,1052415,238619,3345558
05/02/20,1093137,243813,3427584
05/03/20,1125236,247470,3506729
05/04/20,1162724,251537,3583055
05/05/20,1198832,257239,3662691
05/06/20,1245413,263855,3756069
05/07/20,1284741,269567,3845718
05/08/20,1322050,274898,3938064
05/09/20,1375624,279311,4024009
05/10/20,1408980,282709,4101699
05/11/20,1456209,286330,4177502
05/12/20,1493414,291942,4261747
5/13/20,1548547,297197,4347018
5/14/20,1587893,302418,4442163